researcher_name,group_name
Anna Rohrbach,Artificial Intelligence
Anna Rohrbach,Computer Vision
Anna Rohrbach,Machine Learning
Anna Rohrbach,Natural Language Processing
Anne Driemel,Robotics
Anne Lauscher,Artificial Intelligence
Anne Lauscher,Natural Language Processing
Anne Roudaut,Human-Computer Interaction
Anne Roudaut,Robotics
Anpei Chen,Artificial Intelligence
Anpei Chen,Computer Graphics
Anpei Chen,Computer Vision
Anru Zhang,Machine Learning
Anshumali Shrivastava,Artificial Intelligence
Anshumali Shrivastava,Data Mining
Anshumali Shrivastava,Databases
Anshumali Shrivastava,Human-Computer Interaction
Anshumali Shrivastava,Machine Learning
Anshumali Shrivastava,Robotics
Anshumali Shrivastava,The Web & Information Retrieval
Anson Kahng,Artificial Intelligence
Anson Kahng,Machine Learning
Anthony K. H. Tung,Artificial Intelligence
Anthony K. H. Tung,Data Mining
Anthony K. H. Tung,Databases
Anthony K. H. Tung,Machine Learning
Anthony K. H. Tung,Natural Language Processing
Anthony K. H. Tung,Visualization
Anthony Tang 0001,Human-Computer Interaction
Antoine Bosselut,Artificial Intelligence
Antoine Bosselut,Computer Vision
Antoine Bosselut,Machine Learning
Antoine Bosselut,Natural Language Processing
Antoine Bosselut,The Web & Information Retrieval
Anton van den Hengel,Artificial Intelligence
Anton van den Hengel,Computer Vision
Anton van den Hengel,Data Mining
Anton van den Hengel,Machine Learning
Anton van den Hengel,The Web & Information Retrieval
Antoni B. Chan,Artificial Intelligence
Antoni B. Chan,Computer Graphics
Antoni B. Chan,Computer Vision
Antoni B. Chan,Machine Learning
Antonino Furnari,Computer Vision
Antonino Furnari,Machine Learning
Antonio Krüger,Human-Computer Interaction
Antonio Krüger,Natural Language Processing
Antonio Krüger,Robotics
Antonio Torralba 0001,Computer Graphics
Antonio Torralba 0001,Computer Vision
Antonio Torralba 0001,Human-Computer Interaction
Antonio Torralba 0001,Machine Learning
Antonio Torralba 0001,Natural Language Processing
Antonio Torralba 0001,Robotics
Antonio Torralba 0001,The Web & Information Retrieval
Antti Honkela,Machine Learning
Antti Oulasvirta,Computer Vision
Antti Oulasvirta,Human-Computer Interaction
Antti Oulasvirta,Robotics
Antônio H. Ribeiro,Machine Learning
Anuj Karpatne,Artificial Intelligence
Anuj Karpatne,Computer Vision
Anuj Karpatne,Data Mining
Anuj Karpatne,Machine Learning
Anusha Withana,Human-Computer Interaction
Aoqian Zhang,Databases
Archan Misra,Artificial Intelligence
Archan Misra,Computer Vision
Archan Misra,Human-Computer Interaction
Archan Misra,Machine Learning
Archan Misra,Robotics
Ari Holtzman,Artificial Intelligence
Ari Holtzman,Computer Vision
Ari Holtzman,Machine Learning
Ari Holtzman,Natural Language Processing
Arianna Bisazza,Natural Language Processing
Ariel D. Procaccia,Artificial Intelligence
Ariel D. Procaccia,Machine Learning
Ariel D. Procaccia,The Web & Information Retrieval
Arijit Khan 0001,Databases
Arijit Khan 0001,Natural Language Processing
Arijit Khan 0001,The Web & Information Retrieval
Arindam Banerjee 0001,Artificial Intelligence
Arindam Banerjee 0001,Data Mining
Arindam Banerjee 0001,Machine Learning
Arindam Banerjee 0001,The Web & Information Retrieval
Arjen P. de Vries,Natural Language Processing
Arjen P. de Vries,The Web & Information Retrieval
Arman Cohan,Artificial Intelligence
Arman Cohan,Computer Vision
Arman Cohan,Machine Learning
Arman Cohan,Natural Language Processing
Arman Cohan,The Web & Information Retrieval
Armando Solar-Lezama,Artificial Intelligence
Armando Solar-Lezama,Computer Graphics
Armando Solar-Lezama,Computer Vision
Armando Solar-Lezama,Databases
Armando Solar-Lezama,Machine Learning
Armando Solar-Lezama,Natural Language Processing
Armando Solar-Lezama,Robotics
Armando Solar-Lezama,Software Engineering
Arnab Bhattacharyya 0001,Artificial Intelligence
Arnab Bhattacharyya 0001,Machine Learning
Arno Solin,Artificial Intelligence
Arno Solin,Computer Vision
Arno Solin,Machine Learning
Arno Solin,The Web & Information Retrieval
Arzoo Katiyar,Natural Language Processing
Ashok Cutkosky,Machine Learning
Ashton Anderson,Data Mining
Ashton Anderson,Machine Learning
Ashton Anderson,Natural Language Processing
Ashton Anderson,The Web & Information Retrieval
Asif Ekbal,Artificial Intelligence
Asif Ekbal,Natural Language Processing
Asif Ekbal,The Web & Information Retrieval
Asja Fischer,Computer Vision
Asja Fischer,Machine Learning
Asja Fischer,Natural Language Processing
Asja Fischer,The Web & Information Retrieval
Aske Mottelson,Human-Computer Interaction
Asuman E. Ozdaglar,Machine Learning
Asuman E. Ozdaglar,Natural Language Processing
Atri Rudra,Databases
Atri Rudra,Machine Learning
Atsushi Nitanda,Machine Learning
Aurélien Lucchi,Artificial Intelligence
Aurélien Lucchi,Computer Vision
Aurélien Lucchi,Machine Learning
Aurélien Lucchi,The Web & Information Retrieval
Avinash Sharma 0001,Computer Vision
Avinash Sharma 0001,Robotics
Avinatan Hassidim,Artificial Intelligence
Avinatan Hassidim,Computer Graphics
Avinatan Hassidim,Computer Vision
Avinatan Hassidim,Machine Learning
Avinatan Hassidim,Natural Language Processing
Avinatan Hassidim,The Web & Information Retrieval
Avishek Anand,Machine Learning
Avishek Anand,Natural Language Processing
Avishek Anand,The Web & Information Retrieval
Avishek Ghosh,Artificial Intelligence
Avishek Ghosh,Machine Learning
Aviv Tamar,Artificial Intelligence
Aviv Tamar,Computer Vision
Aviv Tamar,Machine Learning
Aviv Tamar,Robotics
Avrim Blum,Artificial Intelligence
Avrim Blum,Machine Learning
Ayush Tewari,Computer Graphics
Ayush Tewari,Computer Vision
Ayush Tewari,Machine Learning
Ayush Tewari,Robotics
Babak Falsafi,Databases
Babak Falsafi,Machine Learning
Baihua Zheng,Artificial Intelligence
Baihua Zheng,Data Mining
Baihua Zheng,Databases
Baihua Zheng,Human-Computer Interaction
Baihua Zheng,The Web & Information Retrieval
Baobao Chang,Artificial Intelligence
Baobao Chang,Computer Vision
Baobao Chang,Machine Learning
Baobao Chang,Natural Language Processing
Baoquan Chen,Artificial Intelligence
Baoquan Chen,Computer Graphics
Baoquan Chen,Computer Vision
Baoquan Chen,Machine Learning
Baoquan Chen,The Web & Information Retrieval
Baoquan Chen,Visualization
Baowen Xu,Artificial Intelligence
Baowen Xu,Computer Vision
Baowen Xu,Natural Language Processing
Baowen Xu,Software Engineering
Baoxiang Wang 0001,Artificial Intelligence
Baoxiang Wang 0001,Data Mining
